update,reward_total,energy_cost_total
791,-17.220840,17.220840
792,-17.210777,17.210777
793,-17.152941,17.152941
794,-17.330282,17.330282
795,-18.348775,18.348775
796,-18.803140,18.803140
797,-18.510044,18.510044
798,-17.512566,17.512566
799,-19.282163,19.282163
800,-18.126241,18.126241
801,-19.242354,19.242354
802,-17.350046,17.350046
803,-17.198303,17.198303
804,-17.134437,17.134437
805,-18.365876,18.365876
806,-17.585789,17.585789
807,-17.351489,17.351489
808,-16.839198,16.839198
809,-16.007937,16.007937
810,-17.826254,17.826254
811,-18.075544,18.075544
812,-17.260732,17.260732
813,-16.769885,16.769885
814,-17.540305,17.540305
815,-16.828420,16.828420
816,-18.554898,18.554898
817,-17.868333,17.868333
818,-19.107139,19.107139
819,-18.494842,18.494842
820,-19.276218,19.276218
821,-20.557571,20.557571
822,-20.257957,20.257957
823,-20.100550,20.100550
824,-18.269489,18.269489
825,-18.182662,18.182662
826,-18.907806,18.907806
827,-18.544487,18.544487
828,-16.532198,16.532198
829,-17.391475,17.391475
830,-16.444319,16.444319
831,-16.495750,16.495750
832,-15.686309,15.686309
833,-16.714064,16.714064
834,-16.875385,16.875385
835,-16.980876,16.980876
836,-17.073593,17.073593
837,-16.275128,16.275128
838,-16.502914,16.502914
839,-17.752652,17.752652
840,-17.146003,17.146003
841,-17.920453,17.920453
842,-18.301355,18.301355
843,-17.271430,17.271430
844,-15.643342,15.643342
845,-17.698640,17.698640
846,-18.259749,18.259749
847,-18.104047,18.104047
848,-16.937466,16.937466
849,-17.483886,17.483886
850,-16.641119,16.641119
851,-16.849903,16.849903
852,-17.976551,17.976551
853,-16.945943,16.945943
854,-17.833059,17.833059
855,-15.998755,15.998755
856,-16.922307,16.922307
857,-16.196150,16.196150
858,-16.297899,16.297899
859,-15.960162,15.960162
860,-16.178918,16.178918
861,-17.349101,17.349101
862,-18.052138,18.052138
863,-17.471777,17.471777
864,-18.431010,18.431010
865,-18.840980,18.840980
866,-18.293386,18.293386
867,-17.958387,17.958387
868,-16.732157,16.732157
869,-17.585318,17.585318
870,-18.202588,18.202588
871,-17.101837,17.101837
872,-19.691778,19.691778
873,-18.912256,18.912256
874,-17.126948,17.126948
875,-16.643529,16.643529
876,-17.847535,17.847535
